feature,frequency
622.68nm,0.0
622.68nm,0.0
622.68nm,0.0
622.68nm,0.0
622.68nm,0.0
622.68nm,0.0
624.83nm,0.0
624.83nm,0.0
624.83nm,0.0
624.83nm,0.0
624.83nm,0.0
624.83nm,0.0
624.83nm,0.0
624.83nm,0.0
624.83nm,0.0
626.97nm,0.0
626.97nm,0.0
626.97nm,0.0
626.97nm,0.0
626.97nm,0.0
626.97nm,0.0
626.97nm,0.0
626.97nm,0.0
626.97nm,0.0
629.11nm,0.0
629.11nm,0.0
629.11nm,0.0
629.11nm,0.0
629.11nm,0.0
629.11nm,0.0
629.11nm,0.0
629.11nm,0.0
631.26nm,0.0
631.26nm,0.0
631.26nm,0.0
631.26nm,0.0
631.26nm,0.0
631.26nm,0.0
631.26nm,0.0
631.26nm,0.0
633.40nm,0.0
633.40nm,0.0
633.40nm,0.0
633.40nm,0.0
633.40nm,0.0
633.40nm,0.0
633.40nm,0.0
633.40nm,0.0
635.55nm,0.0
635.55nm,0.0
635.55nm,0.0
635.55nm,0.0
635.55nm,0.0
635.55nm,0.0
635.55nm,0.0
635.55nm,0.0
637.69nm,0.0
637.69nm,0.0
637.69nm,0.0
637.69nm,0.0
637.69nm,0.0
637.69nm,0.0
637.69nm,0.0
637.69nm,0.0
639.83nm,0.0
639.83nm,0.0
639.83nm,0.0
639.83nm,0.0
639.83nm,0.0
639.83nm,0.0
639.83nm,0.0
639.83nm,0.0
641.98nm,0.0
641.98nm,0.0
641.98nm,0.0
641.98nm,0.0
641.98nm,0.0
641.98nm,0.0
641.98nm,0.0
641.98nm,0.0
644.12nm,0.0
644.12nm,0.0
644.12nm,0.0
644.12nm,0.0
644.12nm,0.0
644.12nm,0.0
644.12nm,0.0
644.12nm,0.0
646.26nm,0.0
646.26nm,0.0
646.26nm,0.0
646.26nm,0.0
646.26nm,0.0
646.26nm,0.0
646.26nm,0.0
646.26nm,0.0
648.41nm,0.0
648.41nm,0.0
648.41nm,0.0
648.41nm,0.0
648.41nm,0.0
648.41nm,0.0
648.41nm,0.0
648.41nm,0.0
650.55nm,0.0
650.55nm,0.0
650.55nm,0.0
650.55nm,0.0
650.55nm,0.0
650.55nm,0.0
650.55nm,0.0
650.55nm,0.0
652.70nm,0.0
652.70nm,0.0
652.70nm,0.0
652.70nm,0.0
652.70nm,0.0
652.70nm,0.0
652.70nm,0.0
654.84nm,0.0
654.84nm,0.0
654.84nm,0.0
654.84nm,0.0
654.84nm,0.0
654.84nm,0.0
654.84nm,0.0
654.84nm,0.0
656.98nm,0.0
656.98nm,0.0
656.98nm,0.0
656.98nm,0.0
656.98nm,0.0
656.98nm,0.0
656.98nm,0.0
656.98nm,0.0
659.13nm,0.0
659.13nm,0.0
659.13nm,0.0
659.13nm,0.0
659.13nm,0.0
659.13nm,0.0
659.13nm,0.0
659.13nm,0.0
661.27nm,0.0
661.27nm,0.0
661.27nm,0.0
661.27nm,0.0
661.27nm,0.0
661.27nm,0.0
661.27nm,0.0
663.41nm,0.0
663.41nm,0.0
663.41nm,0.0
663.41nm,0.0
663.41nm,0.0
663.41nm,0.0
665.56nm,0.0
665.56nm,0.0
665.56nm,0.0
665.56nm,0.0
665.56nm,0.0
665.56nm,0.0
665.56nm,0.0
665.56nm,0.0
667.70nm,0.0
667.70nm,0.0
667.70nm,0.0
667.70nm,0.0
667.70nm,0.0
667.70nm,0.0
667.70nm,0.0
669.85nm,0.0
669.85nm,0.0
669.85nm,0.0
669.85nm,0.0
669.85nm,0.0
669.85nm,0.0
669.85nm,0.0
669.85nm,0.0
671.99nm,0.0
671.99nm,0.0
671.99nm,0.0
671.99nm,0.0
671.99nm,0.0
671.99nm,0.0
671.99nm,0.0
671.99nm,0.0
674.13nm,0.0
674.13nm,0.0
674.13nm,0.0
674.13nm,0.0
674.13nm,0.0
674.13nm,0.0
674.13nm,0.0
674.13nm,0.0
676.28nm,0.0
676.28nm,0.0
676.28nm,0.0
676.28nm,0.0
676.28nm,0.0
676.28nm,0.0
678.42nm,0.0
678.42nm,0.0
678.42nm,0.0
678.42nm,0.0
680.57nm,0.0
680.57nm,0.0
680.57nm,0.0
680.57nm,0.0
680.57nm,0.0
680.57nm,0.0
682.71nm,0.0
682.71nm,0.0
682.71nm,0.0
682.71nm,0.0
682.71nm,0.0
684.85nm,0.0
684.85nm,0.0
684.85nm,0.0
684.85nm,0.0
684.85nm,0.0
687.00nm,0.0
687.00nm,0.0
687.00nm,0.0
687.00nm,0.0
687.00nm,0.0
689.14nm,0.0
689.14nm,0.0
689.14nm,0.0
689.14nm,0.0
689.14nm,0.0
689.14nm,0.0
689.14nm,0.0
691.28nm,0.0
691.28nm,0.0
691.28nm,0.0
691.28nm,0.0
691.28nm,0.0
691.28nm,0.0
691.28nm,0.0
693.43nm,0.0
693.43nm,0.0
693.43nm,0.0
693.43nm,0.0
693.43nm,0.0
693.43nm,0.0
693.43nm,0.0
693.43nm,0.0
695.57nm,0.0
695.57nm,0.0
1010.71nm,0.0
695.57nm,0.0
695.57nm,0.0
695.57nm,0.0
695.57nm,0.0
1010.71nm,0.0
695.57nm,0.0
697.72nm,0.0
697.72nm,0.0
1010.71nm,0.0
697.72nm,0.0
697.72nm,0.0
697.72nm,0.0
697.72nm,0.0
1010.71nm,0.0
697.72nm,0.0
699.86nm,0.0
699.86nm,0.0
1010.71nm,0.0
699.86nm,0.0
699.86nm,0.0
699.86nm,0.0
699.86nm,0.0
1010.71nm,0.0
699.86nm,0.0
702.00nm,0.0
702.00nm,0.0
1010.71nm,0.0
702.00nm,0.0
702.00nm,0.0
702.00nm,0.0
702.00nm,0.0
1010.71nm,0.0
702.00nm,0.0
704.15nm,0.0
704.15nm,0.0
704.15nm,0.0
704.15nm,0.0
704.15nm,0.0
704.15nm,0.0
704.15nm,0.0
